url|date|title|tags|heading|source|text|bias_rating,,,,,,,,,,,,,,
https://www.wired.com/story/scotus-us-government-talk-social-media-companies/|2024-06-26|SCOTUS Says States Lack Standing to Challenge WH Communications With Social Media Companies|['Supreme Court', 'Social Media', 'Free Speech', 'Content Moderation', 'Censorship', 'Misinformation And Disinformation', 'Amy Coney Barrett', 'Samuel Alito', 'Federal State And Tribal Powers', 'Big Tech'," 'Technology']|Supreme Court Rules That US Government Can Continue Talking to Social Media Companies|Wired|""Today", the Supreme Court ruled in a 6–3 decision that the plaintiffs who'd sued the US government for allegedly violating the First Amendment—by communicating with social media companies about misleading and harmful content on their platforms—did not present enough evidence to prove that they had standing to sue._x000D_,,,
The case was brought by the attorneys general from Louisiana and Missouri, who alleged that government agencies have had undue influence on the content moderation practices of platforms and coerced the platforms into taking down conservative-leaning content," infringing on the First Amendment rights of their citizens....""|center",,,,,,,,,,,,
https://www.nytimes.com/2024/06/26/us/politics/supreme-court-biden-free-speech.html|2024-06-26|SCOTUS Says States Lack Standing to Challenge WH Communications With Social Media Companies|['Supreme Court', 'Social Media', 'Free Speech', 'Content Moderation', 'Censorship', 'Misinformation And Disinformation', 'Amy Coney Barrett', 'Samuel Alito', 'Federal State And Tribal Powers', 'Big Tech'," 'Technology']|Supreme Court Rejects Challenge to Biden Administration’s Contacts With Social Media Companies|New York Times (News)|""The Supreme Court handed the Biden administration a major practical victory on Wednesday", rejecting a challenge to its contacts with social media platforms to combat what administration officials said was misinformation._x000D_,,,
The court ruled that the states and users who had challenged the contacts had not suffered the sort of direct injury that gave them standing to sue._x000D_,,,,,,,,,,,,,,
The decision, by a 6 to 3 vote, left fundamental legal questions for another day._x000D_,,,,,,,,,,,,
“The plaintiffs, without any concrete link between their injuries and the defendants’ conduct," ask us to conduct...""|leaning left",,,,,,,,,,,,
https://www.foxnews.com/politics/supreme-court-rules-challenge-biden-admins-effort-influence-social-media|2024-06-26|SCOTUS Says States Lack Standing to Challenge WH Communications With Social Media Companies|['Supreme Court', 'Social Media', 'Free Speech', 'Content Moderation', 'Censorship', 'Misinformation And Disinformation', 'Amy Coney Barrett', 'Samuel Alito', 'Federal State And Tribal Powers', 'Big Tech'," 'Technology']|Supreme Court rules on challenge to Biden admin’s effort to influence social media|Fox News Digital|""The Supreme Court on Wednesday ruled in favor of the Biden administration in a challenge to its alleged coordination with social media companies", saying that the states who sued the administration lacked standing. _x000D_,,,
The case, Murthy v. Missouri," stems from a lawsuit brought by state attorneys general from Missouri and Louisiana that accused high-ranking government officials of working with giant social media companies """"under the guise of combating misinformation"""" that ultimately led to censoring speech on topics that included Hunter Biden’s laptop", COVID-19 origins and the efficacy of face masks._x000D_,,,,,,,,,,,
"Justice Amy...""|right",,,,,,,,,,,,,,
https://apnews.com/article/canada-trudeau-election-upset-toronto-90aec12045771d76330547f9f53b1a14|2024-06-26|Canadian Liberals Suffer Election Upset|['Elections', 'The Americas', 'Canada', 'Justin Trudeau', 'Liberals', 'Politics', 'Ontario', 'Canadian Parliament']|Canada’s Liberals suffer major upset in Toronto special election," raising doubts about Trudeau|Associated Press|""Canadian Prime Minister Justin Trudeau’s Liberal party has suffered a major upset in a special election for a Toronto district it has held for three decades", raising doubts about Trudeau’s leadership ahead of next year’s general election._x000D_,,,,,
Elections Canada reported Tuesday that opposition Conservative candidate Don Stewart won the Toronto-St. Paul’s district by almost 600 votes, 42.1% over the Liberal candidate’s 40.5% with all 192 polling stations reporting results of Monday’s voting._x000D_,,,,,,,,,,,,,
“This was obviously not the result we wanted," but I want to be clear that I hear the...""|leaning left",,,,,,,,,,,,,
https://www.zerohedge.com/geopolitical/trudeau-trouble-after-conservative-upset-toronto-must-win-special-election|2024-06-26|Canadian Liberals Suffer Election Upset|['Elections', 'The Americas', 'Canada', 'Justin Trudeau', 'Liberals', 'Politics', 'Ontario'," 'Canadian Parliament']|""Trudeau In Trouble After Conservative Upset In Toronto """"Must-Win"""" Special Election""|ZeroHedge|""Two years ago", Canadian Prime Minister Justin Trudeau declared war on conservatives - invoking the Emergencies Act to punish protesting truckers in a move that was ruled flatly unconstitutional in January._x000D_,,,,,,
Now, his political future is on the line after the ruling liberal party lost a key 'safe seat' in the Toronto-St. Paul's special election._x000D_,,,,,,,,,,,,,
In an upset victory, Conservative candidate Don Stewart beat Liberal Leslie Church by a slim, but hugely significant 590 votes, dislodging a seat that the governing Liberals have held for more than 30 years._x000D_,,,,,,,,,,,
In response to the win," Conservative leader Pierre Poilivere...""|leaning right",,,,,,,,,,,,,
